score;completeness;rescuebot_action;rescuebot_location;aldf_action;aldf_location;world_nr;tick_nr
0;0.0;;(22, 11);;(22, 12);1;0
0;0.0;;(22, 11);MoveWest;(21, 12);1;1
0;0.0;;(22, 11);MoveSouth;(21, 13);1;2
0;0.0;MoveNorth;(22, 11);;(21, 13);1;3
0;0.0;MoveNorth;(22, 11);;(21, 13);1;4
0;0.0;MoveNorth;(22, 11);;(21, 13);1;5
0;0.0;MoveNorth;(22, 11);;(21, 13);1;6
0;0.0;MoveNorth;(22, 11);;(21, 13);1;7
0;0.0;MoveNorth;(22, 11);;(21, 13);1;8
0;0.0;MoveNorth;(22, 11);;(21, 13);1;9
0;0.0;MoveNorth;(22, 11);;(21, 13);1;10
0;0.0;MoveNorth;(22, 10);;(21, 13);1;11
0;0.0;MoveNorth;(22, 10);;(21, 13);1;12
0;0.0;MoveNorth;(22, 10);;(21, 13);1;13
0;0.0;MoveNorth;(22, 10);;(21, 13);1;14
0;0.0;MoveNorth;(22, 10);;(21, 13);1;15
0;0.0;MoveNorth;(22, 10);;(21, 13);1;16
0;0.0;MoveNorth;(22, 10);;(21, 13);1;17
0;0.0;MoveNorth;(22, 10);;(21, 13);1;18
0;0.0;MoveNorth;(22, 10);;(21, 13);1;19
0;0.0;MoveNorth;(22, 9);;(21, 13);1;20
