score;completeness;rescuebot_action;rescuebot_location;oad_action;oad_location;world_nr;tick_nr
0;0.0;;(22, 11);;(22, 12);1;0
0;0.0;;(22, 11);MoveSouth;(22, 13);1;1
0;0.0;;(22, 11);MoveSouth;(22, 14);1;2
0;0.0;MoveNorth;(22, 11);;(22, 14);1;3
0;0.0;MoveNorth;(22, 11);;(22, 14);1;4
0;0.0;MoveNorth;(22, 11);;(22, 14);1;5
0;0.0;MoveNorth;(22, 11);;(22, 14);1;6
0;0.0;MoveNorth;(22, 11);;(22, 14);1;7
0;0.0;MoveNorth;(22, 11);;(22, 14);1;8
0;0.0;MoveNorth;(22, 11);;(22, 14);1;9
0;0.0;MoveNorth;(22, 11);;(22, 14);1;10
0;0.0;MoveNorth;(22, 10);;(22, 14);1;11
0;0.0;MoveNorth;(22, 10);;(22, 14);1;12
0;0.0;MoveNorth;(22, 10);;(22, 14);1;13
0;0.0;MoveNorth;(22, 10);;(22, 14);1;14
0;0.0;MoveNorth;(22, 10);;(22, 14);1;15
0;0.0;MoveNorth;(22, 10);;(22, 14);1;16
0;0.0;MoveNorth;(22, 10);;(22, 14);1;17
0;0.0;MoveNorth;(22, 10);;(22, 14);1;18
0;0.0;MoveNorth;(22, 10);;(22, 14);1;19
0;0.0;MoveNorth;(22, 9);;(22, 14);1;20
